             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          17361323  parallel  omp-job clygour1 PD       0:00      1 (AssocGrpBillingMinutes)
          17361322  parallel  omp-job clygour1 PD       0:00      1 (AssocGrpBillingMinutes)
          17361321  parallel  omp-job clygour1 PD       0:00      1 (AssocGrpBillingMinutes)
          17361320  parallel  omp-job clygour1 PD       0:00      1 (AssocGrpBillingMinutes)
          17361319  parallel  omp-job clygour1 PD       0:00      1 (AssocGrpBillingMinutes)
          17361318  parallel  omp-job clygour1 PD       0:00      1 (AssocGrpBillingMinutes)
          17361317  parallel  omp-job clygour1 PD       0:00      1 (AssocGrpBillingMinutes)
          17361316  parallel  omp-job clygour1 PD       0:00      1 (AssocGrpBillingMinutes)
          17361315  parallel  omp-job clygour1 PD       0:00      1 (AssocGrpBillingMinutes)
          17362824  parallel  omp-job clygour1 PD       0:00      1 (AssocGrpBillingMinutes)
17468878_[289-1079  parallel   source   yli311 PD       0:00      2 (MaxCpuPerAccount)
          17398421  parallel complian  txiang5 PD       0:00     28 (AssocGrpCPUMinutesLimit)
          17414416  parallel OOD_RStu  apark55 PD       0:00      1 (AssocGrpCPUMinutesLimit)
 17453215_[77-100]  parallel HT_aflow   coses1 PD       0:00      1 (MaxCpuPerAccount)
  17462616_[1-100]  parallel HT_aflow   coses1 PD       0:00      1 (MaxCpuPerAccount)
          17462050  parallel  run10-0  pmorra1 PD       0:00     12 (MaxCpuPerAccount)
          17462023  parallel   run9-0  pmorra1 PD       0:00     12 (MaxCpuPerAccount)
          17347468  parallel    rg100  btran15  R 1-23:02:54     10 c[640-649]
          17428352  parallel     plot bcarpen6  R   22:56:45      1 c022
          17422360  parallel Baseline   mzahn2  R 1-00:46:50      1 c012
          17454514  parallel suite2p_   zzhu34  R   13:51:20      1 c014
          17488625  parallel   LAMMPS sabdela6  R      36:14      1 c655
          17488547  parallel   LAMMPS sabdela6  R      37:47      1 c700
          17460925  parallel suite2p_   zzhu34  R    9:59:00      1 c007
          17449343  parallel 14her_mu wbalmer1  R   17:36:02      1 c001
      17468878_288  parallel   source   yli311  R       2:01      2 c[201-202]
      17468878_287  parallel   source   yli311  R       2:56      2 c[297-298]
      17468878_286  parallel   source   yli311  R       3:36      2 c[196-197]
      17468878_285  parallel   source   yli311  R       4:26      2 c[180-181]
      17468878_284  parallel   source   yli311  R       4:30      2 c[285-286]
      17468878_283  parallel   source   yli311  R       4:39      2 c[100-101]
      17468878_282  parallel   source   yli311  R       5:47      2 c[081-082]
      17468878_281  parallel   source   yli311  R       7:59      2 c[189-190]
      17468878_280  parallel   source   yli311  R       8:08      2 c[498-499]
      17468878_279  parallel   source   yli311  R       8:20      2 c[219-220]
      17468878_278  parallel   source   yli311  R       8:38      2 c[333-334]
      17468878_277  parallel   source   yli311  R       8:47      2 c[374-375]
